window_start,avg_entropy_1_10,max_entropy_1_10,ops_per_second,bytes_per_second,burst_score,operation_count,total_bytes,is_ransomware
2020-04-27T10:18:34.214429,2.0,2.0,2986.8,12220979,10,29868,122209792,0
2020-04-27T10:18:35.214429,2.0,2.0,3361.5,13754061,10,33615,137540608,0
2020-04-27T10:18:36.214429,2.0,2.0,3618.1,14800794,0,36181,148007936,0
2020-04-27T10:18:37.214429,2.0,2.0,4107.4,16801024,0,41074,168010240,0
2020-04-27T10:18:38.214429,2.0,2.0,4587.9,18766285,0,45879,187662848,0
2020-04-27T10:18:39.214429,2.0,2.0,5199.3,21264435,0,51993,212644352,0
2020-04-27T10:18:40.214429,2.0,2.0,5589.4,22858445,0,55894,228584448,0
2020-04-27T10:18:41.214429,2.0,2.0,5319.1,21744282,0,53191,217442816,0
2020-04-27T10:18:42.214429,2.0,2.0,5247.6,21443174,0,52476,214431744,0
2020-04-27T10:18:43.214429,2.0,2.0,5184.1,21178061,0,51841,211780608,0
2020-04-27T10:18:44.214429,2.0,2.0,4853.1,19815680,0,48531,198156800,0
2020-04-27T10:18:45.214429,2.0,2.0,4998.8,20407603,0,49988,204076032,0
2020-04-27T10:18:46.214429,2.0,2.0,4836.9,19734528,0,48369,197345280,0
2020-04-27T10:18:47.214429,2.0,2.0,5125.9,20915200,0,51259,209152000,0
2020-04-27T10:18:48.214429,2.0,2.0,5223.3,21315789,0,52233,213157888,0
2020-04-27T10:18:49.214429,2.0,2.0,5169.6,21091533,0,51696,210915328,0
2020-04-27T10:18:50.214429,2.0,2.0,5084.2,20741530,0,50842,207415296,0
2020-04-27T10:18:51.214429,2.0,2.0,5524.3,22546995,0,55243,225469952,0
2020-04-27T10:18:52.214429,2.0,2.0,5492.6,22422118,0,54926,224221184,0
2020-04-27T10:18:53.214429,2.0,2.0,5531.3,22581555,0,55313,225815552,0
2020-04-27T10:18:54.214429,2.0,2.0,5490.1,22414285,0,54901,224142848,0
2020-04-27T10:18:55.214429,2.0,2.0,5383.8,21970227,0,53838,219702272,0
2020-04-27T10:18:56.214429,2.0,2.0,5560.4,22704742,0,55604,227047424,0
2020-04-27T10:18:57.214429,2.0,2.0,5657.2,23104102,0,56572,231041024,0
2020-04-27T10:18:58.214429,2.0,2.0,5532.8,22589440,0,55328,225894400,0
2020-04-27T10:18:59.214429,2.0,2.0,5699.4,23272397,0,56994,232723968,0
2020-04-27T10:19:00.214429,2.0,2.0,5866.4,23954330,0,58664,239543296,0
2020-04-27T10:19:01.214429,2.0,2.0,5830.6,23808358,0,58306,238083584,0
2020-04-27T10:19:02.214429,2.0,2.0,5436.8,22198118,0,54368,221981184,0
2020-04-27T10:19:03.214429,2.0,2.0,5251.9,21437850,0,52519,214378496,0
2020-04-27T10:19:04.214429,2.0,2.0,5011.4,20447744,0,50114,204477440,0
2020-04-27T10:19:05.214429,2.0,2.0,5336.0,21790669,0,53360,217906688,0
2020-04-27T10:19:06.214429,2.0,2.0,5354.3,21864243,0,53543,218642432,0
2020-04-27T10:19:07.214429,2.0,2.0,5066.8,20678400,0,50668,206784000,0
2020-04-27T10:19:08.214429,2.0,2.0,4637.3,18924595,0,46373,189245952,0
2020-04-27T10:19:09.214429,2.0,2.0,4508.1,18395392,0,45081,183953920,0
2020-04-27T10:19:10.214429,2.0,2.0,4618.5,18852557,0,46185,188525568,0
2020-04-27T10:19:11.214429,2.0,2.0,4837.8,19753370,0,48378,197533696,0
2020-04-27T10:19:12.214429,2.0,2.0,4793.0,19569920,0,47930,195699200,0
2020-04-27T10:19:13.214429,2.0,2.0,4714.5,19241677,0,47145,192416768,0
2020-04-27T10:19:14.214429,2.0,2.0,4837.3,19755315,0,48373,197553152,0
2020-04-27T10:19:15.214429,2.0,2.0,4786.8,19547443,0,47868,195474432,0
2020-04-27T10:19:16.214429,2.0,2.0,4944.3,20195482,0,49443,201954816,0
2020-04-27T10:19:17.214429,2.0,2.0,5103.0,20849357,0,51030,208493568,0
2020-04-27T10:19:18.214429,2.0,2.0,5103.7,20852582,0,51037,208525824,0
2020-04-27T10:19:19.214429,2.0,2.0,5058.2,20665088,0,50582,206650880,0
2020-04-27T10:19:20.214429,2.0,2.0,5006.0,20449638,0,50060,204496384,0
2020-04-27T10:19:21.214429,2.0,2.0,4714.2,19248333,0,47142,192483328,0
2020-04-27T10:19:22.214429,2.0,2.0,4925.6,20115302,0,49256,201153024,0
2020-04-27T10:19:23.214429,2.0,2.0,5473.2,22373069,0,54732,223730688,0
2020-04-27T10:19:24.214429,2.0,2.0,5445.5,22260838,0,54455,222608384,0
2020-04-27T10:19:25.214429,2.0,2.0,5763.6,23570330,0,57636,235703296,0
2020-04-27T10:19:26.214429,2.0,2.0,5439.7,22244045,0,54397,222440448,0
2020-04-27T10:19:27.214429,2.0,2.0,5195.3,21244160,0,51953,212441600,0
2020-04-27T10:19:28.214429,2.0,2.0,5416.7,22149274,0,54167,221492736,0
2020-04-27T10:19:29.214429,2.0,2.0,5418.9,22159462,0,54189,221594624,0
2020-04-27T10:19:30.214429,2.0,2.0,4935.4,20180685,0,49354,201806848,0
2020-04-27T10:19:31.214429,2.0,2.0,4482.4,18334925,0,44824,183349248,0
2020-04-27T10:19:32.214429,2.0,2.0,4237.5,17330125,0,42375,173301248,0
2020-04-27T10:19:33.214429,2.0,2.0,3549.4,14501581,0,35494,145015808,0
2020-04-27T10:19:34.214429,2.0,2.0,3401.7,13891482,0,34017,138914816,0
2020-04-27T10:19:35.214429,2.0,2.0,2744.1,11180698,0,27441,111806976,0
2020-04-27T10:19:36.214429,2.0,2.0,3145.3,12820787,0,31453,128207872,0
2020-04-27T10:19:37.214429,2.0,2.0,3537.2,14427443,0,35372,144274432,0
2020-04-27T10:19:38.214429,2.0,2.0,3661.6,14923366,0,36616,149233664,0
2020-04-27T10:19:39.214429,2.0,2.0,3550.4,14460467,0,35504,144604672,0
2020-04-27T10:19:40.214429,2.0,2.0,4069.4,16578918,0,40694,165789184,0
2020-04-27T10:19:41.214429,2.0,2.0,4644.0,18924698,0,46440,189246976,0
2020-04-27T10:19:42.214429,2.0,2.0,5168.6,21071258,0,51686,210712576,0
2020-04-27T10:19:43.214429,2.0,2.0,5542.2,22603981,0,55422,226039808,0
2020-04-27T10:19:44.214429,2.0,2.0,5501.2,22438758,0,55012,224387584,0
2020-04-27T10:19:45.214429,2.0,2.0,5560.6,22683648,0,55606,226836480,0
2020-04-27T10:19:46.214429,2.0,2.0,4987.0,20335616,0,49870,203356160,0
2020-04-27T10:19:47.214429,2.0,2.0,4883.8,19913216,0,48838,199132160,0
2020-04-27T10:19:48.214429,2.0,2.0,4641.5,18935245,0,46415,189352448,0
2020-04-27T10:19:49.214429,2.0,2.0,4821.1,19684250,0,48211,196842496,0
2020-04-27T10:19:50.214429,2.0,2.0,4437.8,18103757,0,44378,181037568,0
2020-04-27T10:19:51.214429,2.0,2.0,4572.8,18662042,0,45728,186620416,0
2020-04-27T10:19:52.214429,2.0,2.0,4250.4,17338163,0,42504,173381632,0
2020-04-27T10:19:53.214429,2.0,2.0,4089.7,16674304,0,40897,166743040,0
2020-04-27T10:19:54.214429,2.0,2.0,4240.0,17290854,0,42400,172908544,0
2020-04-27T10:19:55.214429,2.0,2.0,4438.8,18111334,0,44388,181113344,0
2020-04-27T10:19:56.214429,2.0,2.0,4811.6,19635354,0,48116,196353536,0
2020-04-27T10:19:57.214429,2.0,2.0,4571.3,18643763,0,45713,186437632,0
2020-04-27T10:19:58.214429,2.0,2.0,4935.7,20134195,0,49357,201341952,0
2020-04-27T10:19:59.214429,2.0,2.0,5093.5,20777728,0,50935,207777280,0
2020-04-27T10:20:00.214429,2.0,2.0,4908.2,20037734,0,49082,200377344,0
2020-04-27T10:20:01.214429,2.0,2.0,4124.4,16826982,0,41244,168269824,0
2020-04-27T10:20:02.214429,2.0,2.0,3858.4,15737754,0,38584,157377536,0
2020-04-27T10:20:03.214429,2.0,2.0,3327.6,13568154,0,33276,135681536,0
2020-04-27T10:18:35.093612,9.1,10.0,429.9,1760512,10,4299,17605120,1
2020-04-27T10:18:36.093612,9.3,10.0,801.2,3281357,10,8012,32813568,1
2020-04-27T10:18:37.093612,9.3,10.0,853.7,3496397,8,8537,34963968,1
2020-04-27T10:18:38.093612,9.5,10.0,1259.7,5159373,7,12597,51593728,1
2020-04-27T10:18:39.093612,9.5,10.0,1259.7,5159373,7,12597,51593728,1
2020-04-27T10:18:40.093612,9.6,10.0,1801.8,7379814,9,18018,73798144,1
2020-04-27T10:18:41.093612,9.6,10.0,1785.8,7314278,9,17858,73142784,1
2020-04-27T10:18:42.093612,9.8,10.0,2212.2,9060813,10,22122,90608128,1
2020-04-27T10:18:43.093612,9.8,10.0,2234.6,9152563,10,22346,91525632,1
2020-04-27T10:18:44.093612,9.8,10.0,2595.0,10629120,10,25950,106291200,1
2020-04-27T10:18:45.093612,9.8,10.0,2598.2,10642227,10,25982,106422272,1
2020-04-27T10:18:46.093612,9.7,10.0,2973.9,12181094,10,29739,121810944,1
2020-04-27T10:18:47.093612,9.7,10.0,2974.0,12181504,10,29740,121815040,1
2020-04-27T10:18:48.093612,9.7,10.0,3253.8,13327565,9,32538,133275648,1
2020-04-27T10:18:49.093612,9.7,10.0,3257.0,13340672,10,32570,133406720,1
2020-04-27T10:18:50.093612,9.7,10.0,3500.9,14339686,8,35009,143396864,1
2020-04-27T10:18:51.093612,9.7,10.0,3509.4,14374502,8,35094,143745024,1
2020-04-27T10:18:52.093612,9.7,10.0,3750.1,15360410,8,37501,153604096,1
2020-04-27T10:18:53.093612,9.6,10.0,3798.2,15557427,8,37982,155574272,1
2020-04-27T10:18:54.093612,9.6,10.0,4030.5,16508928,7,40305,165089280,1
2020-04-27T10:18:55.093612,9.6,10.0,4042.0,16556032,9,40420,165560320,1
2020-04-27T10:18:56.093612,9.8,10.0,4137.7,16948019,8,41377,169480192,1
2020-04-27T10:18:57.093612,9.8,10.0,4137.9,16948838,8,41379,169488384,1
2020-04-27T10:18:58.093612,9.7,10.0,4376.1,17924506,7,43761,179245056,1
2020-04-27T10:18:59.093612,9.7,10.0,4376.1,17924506,8,43761,179245056,1
2020-04-27T10:19:00.093612,9.7,10.0,4534.1,18571674,7,45341,185716736,1
2020-04-27T10:19:01.093612,9.7,10.0,4562.5,18688000,6,45625,186880000,1
2020-04-27T10:19:02.093612,9.7,10.0,4745.0,19435520,6,47450,194355200,1
2020-04-27T10:19:03.093612,9.8,10.0,4735.4,19396198,6,47354,193961984,1
2020-04-27T10:19:04.093612,9.8,10.0,4787.0,19607552,4,47870,196075520,1
2020-04-27T10:19:05.093612,9.8,10.0,4810.2,19702579,5,48102,197025792,1
2020-04-27T10:19:06.093612,9.8,10.0,4911.5,20117504,5,49115,201175040,1
2020-04-27T10:19:07.093612,9.8,10.0,4921.1,20156826,6,49211,201568256,1
2020-04-27T10:19:08.093612,9.8,10.0,4809.6,19700122,4,48096,197001216,1
2020-04-27T10:19:09.093612,9.8,10.0,5009.3,20518093,5,50093,205180928,1
2020-04-27T10:19:10.093612,9.8,10.0,4951.2,20280115,5,49512,202801152,1
2020-04-27T10:19:11.093612,9.8,10.0,4957.7,20306739,6,49577,203067392,1
2020-04-27T10:19:12.093612,9.7,10.0,4956.8,20303053,6,49568,203030528,1
2020-04-27T10:19:13.093612,9.7,10.0,4952.4,20285030,6,49524,202850304,1
2020-04-27T10:19:14.093612,9.7,10.0,4972.6,20367770,5,49726,203677696,1
2020-04-27T10:19:15.093612,9.7,10.0,4979.3,20395213,6,49793,203952128,1
2020-04-27T10:19:16.093612,9.7,10.0,4910.9,20115046,6,49109,201150464,1
2020-04-27T10:19:17.093612,9.7,10.0,4921.7,20159283,6,49217,201592832,1
2020-04-27T10:19:18.093612,9.8,10.0,4997.4,20469350,6,49974,204693504,1
2020-04-27T10:19:19.093612,9.8,10.0,4914.5,20129792,6,49145,201297920,1
2020-04-27T10:19:20.093612,9.8,10.0,4944.9,20254310,4,49449,202543104,1
2020-04-27T10:19:21.093612,9.8,10.0,4972.7,20368179,6,49727,203681792,1
2020-04-27T10:19:22.093612,9.8,10.0,4900.5,20072448,6,49005,200724480,1
2020-04-27T10:19:23.093612,9.8,10.0,4890.6,20031898,6,48906,200318976,1
2020-04-27T10:19:24.093612,9.7,10.0,5031.6,20609075,5,50316,206090752,1
2020-04-27T10:19:25.093612,9.7,10.0,5035.4,20624640,6,50354,206246400,1
2020-04-27T10:19:26.093612,9.7,10.0,5172.7,21187021,5,51727,211870208,1
2020-04-27T10:19:27.093612,9.7,10.0,5194.1,21274675,6,51941,212746752,1
2020-04-27T10:19:28.093612,9.7,10.0,5261.1,21549107,6,52611,215491072,1
2020-04-27T10:19:29.093612,9.8,10.0,5186.2,21242317,6,51862,212423168,1
2020-04-27T10:19:30.093612,9.8,10.0,5215.9,21363968,5,52159,213639680,1
2020-04-27T10:19:31.093612,9.8,10.0,5212.4,21349632,5,52124,213496320,1
2020-04-27T10:19:32.093612,9.8,10.0,5119.1,20967475,4,51191,209674752,1
2020-04-27T10:19:33.093612,9.8,10.0,5136.2,21037517,5,51362,210375168,1
2020-04-27T10:19:34.093612,9.8,10.0,4848.2,19857869,4,48482,198578688,1
2020-04-27T10:19:35.093612,9.7,10.0,4916.2,20136397,5,49162,201363968,1
2020-04-27T10:19:36.093612,9.7,10.0,4599.2,18837965,5,45992,188379648,1
2020-04-27T10:19:37.093612,9.8,10.0,4597.4,18830592,7,45974,188305920,1
2020-04-27T10:19:38.093612,9.8,10.0,4410.2,18063821,7,44102,180638208,1
2020-04-27T10:19:39.093612,9.7,10.0,4474.0,18323763,8,44740,183237632,1
2020-04-27T10:19:40.093612,9.7,10.0,4347.2,17804390,8,43472,178043904,1
2020-04-27T10:19:41.093612,9.7,10.0,4333.9,17749914,9,43339,177499136,1
2020-04-27T10:19:42.093612,9.7,10.0,4397.4,18010010,9,43974,180100096,1
2020-04-27T10:19:43.093612,9.7,10.0,4424.5,18121011,9,44245,181210112,1
2020-04-27T10:19:44.093612,9.7,10.0,4594.2,18816461,9,45942,188164608,1
2020-04-27T10:19:45.093612,9.7,10.0,4573.9,18732698,9,45739,187326976,1
2020-04-27T10:19:46.093612,9.7,10.0,4682.4,19177114,7,46824,191771136,1
2020-04-27T10:19:47.093612,9.7,10.0,4705.2,19270502,7,47052,192705024,1
2020-04-27T10:19:48.093612,9.7,10.0,4767.3,19524864,7,47673,195248640,1
2020-04-27T10:19:49.093612,9.7,10.0,4794.0,19635610,7,47940,196356096,1
2020-04-27T10:19:50.093612,9.7,10.0,4781.7,19585229,5,47817,195852288,1
2020-04-27T10:19:51.093612,9.7,10.0,4811.5,19707290,7,48115,197072896,1
2020-04-27T10:19:52.093612,9.7,10.0,4755.9,19479552,6,47559,194795520,1
2020-04-27T10:19:53.093612,9.7,10.0,4774.9,19557376,7,47749,195573760,1
2020-04-27T10:19:54.093612,9.8,10.0,4666.4,19112960,7,46664,191129600,1
2020-04-27T10:19:55.093612,9.8,10.0,4657.5,19077120,7,46575,190771200,1
2020-04-27T10:19:56.093612,9.8,10.0,4651.9,19054182,7,46519,190541824,1
